review_order,title,review_id,full_review,number_of_sentences,label_m_review
89,Ivana Borčić-Sesar,33,"Radila sam u ordinaciji Borčić Sesar dvije plombe,čiščećenje i pjeskarenje zubi. Imam samo riječi hvale. Termini nisu dugi. Doktorica je jako pažljiva,stručna i pedantna. Ima nježnu ruku i jako se trudi da je sve u redu. Sestra također ugodna, prostor u kojem rade je prekrasan, uredan i čist. Svima preporučujem odlazak kod dr. Ivane bez straha,jer će te izaći s osmijehom na licu.",8,2
90,Ivana Borčić-Sesar,34,"Svima bih ju preporučila.. ljubazna , stručna i temeljita. Nakon tretmana sam bila prezadovoljna, te sam cijeli dan gledala zube i divila se Izvedba plombe na zubu je savršena , te zub izgleda kao da nikad nije bio pokvaren. Uz sve to tretman je bio brz i bezbolan.",3,2
91,Ivana Borčić-Sesar,35,"Kod samog ulaska u ordinaciju, gdje Vas dočeka uvijek nasmijana i veselo raspoložena sestra, shvatite kako posjet zubaru može biti ugodan i opušten. Osoblje izuzetno profesionalno i ljubazno, na prvi pogled se vidi da vole svoja posao i zbilja uživaju u njemu. Doktorica je temeljita, brza i nježna, pacijentu objašnjava sve korake svog posla. Ambijent i atmosfera su toliko ugodni i opuštajući da poželite svaki tjedan ići kod zubara.",4,2
92,Marko Velepič,1,"Neljubazan i arogantan lijecnik Na hitnu sam dosao pun bolova u ustima Grubo me je odgurnuo kada sam sjeo na stolicu, nije izgovorio gotovo nijednu rijec od pozdrava pa dalje Izuzetno neljubazan i ljut na sebe i cijeli svijet Zao mi je osoblja koje ga mora trpjeti Zadnje sto ocekujete kada imate jake bolove je ovakav lijecnik",6,0
93,Marko Velepič,2,"5,4 imali smo pregled kod doktora da potvrdi dijagnoza koju su primjetile lječnice iz KBC par dana prije Vrlo brzo napravili smo sve preglede, nikad nismo za ništa predugo čekali Šokirana da mi dijete nagluho i da treba operaciju bubnjića, cjevčice u drugo uho i vađenje trećeg krajnika, a na jesen kreće u školu, nisam se stigla ni informirati ,...već sam dobila mail da je operacija 2.5 Nakon operacije imali smo par kontrola, sve je uredno zarastalo Tako da smo do škole, tj. već sad riješili sve i možemo se bezbrižno kupati! Stvarno sam zahvalana doktoru da je primljena tako brzo i da je to tako uspješno napravljeno",8,2
94,Marko Velepič,3,"Doktor je vrlo susretljiv, ljubazan, pristupačan te konstruktivan Nemam nikakvog prigovora kod njegovog pristupa",2,2
95,Marko Velepič,4,"Nakon 1.5h zakasnjenja primljen sam kako bi doticni potpuno ignorirao moja pitanja i izbacio me van nakon dvije minute sa rijecima upucenima medicinskoj sestri: ""Ja sam to obavio"" Primjer arogantnog doktora koji je to postao iz meni nepoznatog razloga, no taj razlog zasigurno nije pomoc pacijentu, jer njemu je to ocito zadnje na listi zivotnih prioriteta Na krucijalna pitanja o mojem zdravlju, koja ne zahtijevaju vise od dvije minute njegova vremena on okrece glavu Uz arogantan mi pogled govori da se vratim za dva mjeseca, a na nalaz napise za dva dana Ovakve su osobe sramota modernog hrvatskog drustva Ovo mi nije prvo negativno iskustvo s doticnim ""doktorom"" Prosli me puta pitao s cime imam problema Kada sam rekao ""kronicna upala sluznice"", rekao mi je da prestanem lupat nesto sto sam napamet naucio i sto ne razumijem, i opisem simptome Zanimljivo kako pretpostavlja da nakon dvadeset godina problema s navedenom dijagnozom ja ""napamet lupam"" O ovoj osobi nazalost nemam reci nista pozitivno Potpuno razocaranje",11,0
96,Marko Velepič,5,"Katastrofalan pristup pacijentu na hitnom prijemu uz ocigledno lose raspolozenje doktora koje se oslikava na rad i strucnost u situaciji Nakon kratke intervencije za koju smatram da se moze odraditi s vise ljudskosti zbog bolova koje je pacijent pokazao prije, za vrijeme i nakon intervencije doktor daje kratko i nerazumne upute u odlasku Na izlasku iz zgrade med. sestra ponavlja upute koje je doktor dao iz ociglednog razloga jer je i ona uvidjela da ponasanje doktora prema pacijentu nije primjereno i krajnje neprofesionalno Intervencija koja je odradena je pomogla i ublazila bolove",4,0
97,Marko Velepič,6,"Profesionalan , ljubazan Stručnjak u svome poslu Zahvalna na zahvatu koji je napravio iskreno ga preporučujem svima U uvjetima u kojima rade zaista zaslužuju puno poštovanje od svih pacijenata Hvala",5,2
98,Marko Velepič,7,"Operirala sam otosklerozu na oba uha prije tri godine Bila sam već skoro gluha U 7 mjeseci su obavljene obje operacije i to savršeno U međuvremenu sam se odselila u Njemačku i već sam bila kod dva doktora na pregledima koji su oduševljeni kad vide sa kakvim je to uspjehom napravljeno Čude se i hvale doktora koji je to napravio Čudno im je da je u obje operacije postigao takav uspjeh, kao i da se u uhu ništa ne vidi J vjerujem da mu uvijek tako dobro uspije Čujem naravno sve i samo mi je negdje u magli ostalo u sjećanju kako je to ništa ne čuti, naprezati se da čujem, čitati sa usana, izbjegavati razgovore ili se samo smješkati da ne pitam ljude da stalno ponavljaju Mogu naravno i pohvaliti ljubaznost i profesionalnost doktora koji je sve objasnio i lijepo me uputio tako da ni u jednom trenutku nisam bila nesigurna i znala sam što me čeka",9,2
99,Marko Velepič,8,"dr.sc Velepič svojim znanjem, vještinama i kompetencijama, nizanjem uspjeha ali i uz maksimalnu profesionalnost, svojom zadržanom toplinom i ljudskošću zaslužuje mjesto uz bok svjetskim ORL facama Srećom, to je ""naš čovik"" i hvala mu što je još uvijek tu!",3,2
100,Marko Velepič,9,"Vrhunski otorinac i kirurg glave i vrata, jedan od vecih uspjeha postigao fantasticnom rekonstrukcijom uske i vracanju sluha 6-godisnjoj djevojcici , ali i mnogim drugima ugradjivanjem kohlearnog implatata Ucio je od najboljh i njihovo znanje vjesto prenosi i prakticira Meni je radio rinoseptoplastiku-zahvat je izveo maestralno, bez postoperativnih podljeva i otoka, bez boli i neugode Tijekom mog boravka u bolnici bio je izrazito pristupacan i neizmjerno ljubazan ne samo prema meni vec i prema mojoj obitelji, ali i prema drugim svojim pacijentima, uvijek strpljiv, u odgovorima i objasnjenjima jasan, konkretan i koncizan Jako ugodna osoba, mlad ( i ne mogu da ne primjetim-bezobrazno zgodan:-) doktor koji zraci pozitivnom energijom i jednostavno ulijeva povjerenje svojim pacijentima; sigurna sam da ce u svojoj karijeri nizati jos brojne i nenadmasive uspjehe Sve pohvale i preporuke! Tijekom boravka u bolnici bio je izrazito pristupacan i ljubazan ne samo prema meni vec i prema mojoj obitelji, uvijek savrseno jasan, konkretan i koncizan svoje pacijente i tretira ih s velikom dozom postovanja i profesionalnosti M",9,2
101,Milka Jerić,1,"Doktorica totalno nezainteresirana za pomoć, na pregledu se vi samostalno trebate odlučiti što vas najviše muči jer ona nema vremena pregledat “baš sve ona ima posla”. Htjela sam pregled madeža jer sam svijetlije puti i obavim takav pregled jednom godišnje (a svi znamo koliko se čeka pregled u dermatologa, tako da je moja ovogodišnja šansa već prošla). Ali pošto sam došla i zbog izrasline na prstu i promjene oko usana nisam dobila pregled madeža. Uz pregled madeža došla sam i zbog ta dva gore navedena problema za koje sam bila prije 10 dana privatno u poliklinici i tamo mi nije rečeno ništa konkretno pa sam htjela da mi doktorica bolje objasni međutim i ona nije znala ništa vezano za to ipak je najlakše ponoviti što mi je već rečeno. Smatram da je temeljit pristup i profesionalost minimum koji pacijent treba dobiti pogotovo kad se radi o kožnim koje mogu biti ozbiljne.",5,0
102,Nino Balenović,1,"Cijeli život muku mučim sa svojim zubima, uvjeren da mi genetika donosi gebis,ali zahvaljujuč dr. Balenoviću rješio sam strah od zubara i napokon volim svoje zube,hvala dr. Nino!",1,1
103,Nino Balenović,2,"Sve pohvale za tim dr. Balenovića, posebno za dr. Marija Sabljić, na profesionalnosti, stručnosti i senzibilnosti Jako sam zadovoljna njihovim radom i modernim pristupom, te njihovom dostupnosti Preporučam",3,2
104,Nino Balenović,3,Dr Balenović je poseban liječnik jer je izuzetno senzibiliziran i orijentiran na liječenje i izlječenje zuba ako je moguće Od srca mu želim unutarnje snage ida zadrži žar prema svojem poslu i pacijentima te za svakodnevno suočavanje sa izazovima,3,1
105,Nino Balenović,4,"Doktor Balenović je vrhunski stručnjak i vrlo draga osoba, kao i cijeli tim Moje srdačne preporuke!",2,1
106,Nino Balenović,5,"Doktor Balenović i njegov tim su iznimno ljubazni i fleksibilni s dogovaranjem termina koji bi mi najviše odgovarao i izlazili mi u susret Najbolji doktor na ovom području, veoma ljubazan, pristupačan, kvalitetan, i stručan glede svog dijela rada! Moja topla preporuka!",3,2
107,Nino Balenović,6,I am so glad to be a patient of Dr Balenović I always leave the practice extremely satisfied I especially love his modern way of working since he uses scanner which makes the treatment so much more comfortable,4,1
108,Nino Balenović,7,"Izvrstan stomatolog, jako profesionalan i pristupačan Ordinacija Balenovic ima sve preporuke od mene !!",2,1
109,Nino Balenović,8,"Veliki stručnjak i odlična osoba, vrlo ugodna suradnja Zadovoljan sam rezultatom jer sam inače jako težak pacijent",2,2
110,Nino Balenović,9,U ordinaciju dr.Balenovića uvijek ulazim s punim povjerenjem da će na kraju sve biti dobro I tako uvijek i bude :),2,1
111,Nino Balenović,10,"Iskusan doktor s puno znanja i vještine, za preporuku svakome tko baš i ne preferira odlazak kod zubara, ovdje ćete naći rješenje svojih problema",1,1
112,Nino Balenović,11,"Dolazeći na pregled bila sam vrlo nervozna, no nasmijano i ugodno osoblje pomoglo mi je da se osjećam vrlo ugodno te sam odradila sve potrebne zahvate bez stresa i straha Ordinacija je bila vrlo čista te lijepo uređena a atmosfera je ugodna i opuštajuća Uz sve to nisam trebala uopće čekati već je pregled obavljen u dogovorenom terminu Sve u svemu jedno jako dobro iskustvo i za svaku preporuku!",4,1
113,Nino Balenović,12,"Svaka pohvala doktoru i njegovom osoblju Već dugi niz godina dolazim redovno i svaki put izlazim zadovoljan Vrlo stručan i pedantan u svome radu, uz individualan pristup svakom zasebnom pacijentu Uvijek spreman i za pokoju šalu Jednostavno predivno iskustvo kada ste u oravim rukama",5,1
114,Nino Balenović,13,"Stomatološka ordinacija Balenović zaslužuje najviše pohvale za izvanrednu brigu o pacijentima i visok profesionalizam Nedavno sam posjetio ovu ordinaciju i ostao sam oduševljen svim aspektima njihove usluge Na početku, dočekao me je ljubazan i stručan tim na recepciji Brzo su me uputili o svim uslugama i procedurama Vrijeme čekanja je bilo minimalno, što je uvijek plus Doktor Balenović koji me je pregledao bio je izuzetno kompetentan Detaljno mi je objasnio trenutno stanje mojeg zubnog zdravlja i predložio najbolji tretman Tijekom same procedure, doktor je bio pažljiv i obazriv, pazeći na moju udobnost Bol je bila minimalna, što govori o njihovoj stručnosti Posebno sam zadovoljan brigom koju su pružili nakon tretmana Dobio sam sve potrebne smjernice za posttretmansku njegu i redovno su me kontaktirali kako bi se uvjerili da se oporavljam bez problema Cijene usluga su bile razumne i transparentne, bez skrivenih troškova Ukratko, Ordinacija Balenović je odlična stomatološka ordinacija koju preporučujem Njihova profesionalnost, pažnja prema pacijentima i visoka kvaliteta usluge čine ih vodećim u dentalnoj industriji Osjećam se sretno što sam ih pronašao i sigurno ću se ponovno obratiti njihovim uslugama u budućnosti Hvala na predivnom iskustvu!",16,2
115,Nino Balenović,14,"O doktoru samo riječi hvale Kod doktora sam vadila umnjake i proces je bio poprilično bezbolan Tokom cijele procedure je provjeravao kako sam, osjetim li da me nešto boli itd. Objasnio nakon vađenja cijeli proces brige te ako osjetim ikakvu bol da se odmah javim (javila sam se i dobila sam termin isti dan)",3,1
116,Nino Balenović,15,Top usluga!! Jako simpatičan i stručan doktor te vrlo drago osoblje Nisam uopće trebao čekati već su me odmah primili a pregled je bio odrađen bezbolno i profesionalno Sve u svemu za svaku preporuku,4,1
117,Nino Balenović,16,"Jednom rjecju - odusevljen!! Prije svega, vec se na samom ulasku u ordinaciju osjeti pozitivna atmosfera i ugodan ambijent Ordinacija je cista i uredna te nema karateristican miris od kojeg se covjeku okrece zeludac prije nego uopce sjedne na zubarski stolac Svaki tretman odraden je strucno i bezbolno u tolikoj mjeri da je cak i cijelozivotni strah od zubara savladan Preporuka svakome u potrazi za strucnim, a opet opustenim zubarom!!",5,2
118,Nino Balenović,17,"Dragi ljudi, evo ukratko moje iskustvo Veliki sam trtaroš, ne vjerujem svakome pogotovo zubarima, ali fala Bogu da ima još uvijek pojedinaca koji ti vrate vjeru POLIKLINIKA BALENOVIĆ mi je skočila kao opcija u pretraživanju i mislim idemo na info (m.m. i ja) Nazvala u petak 6.1 I dogovorila sastanak za 9.1. 2023. jako mi je bio bitan prvi kontakt i moram vam reći da sam ugodno bila iznenadena toplinom pozitivnom i konkretnim odgovorima na sva moja pitanja Imamo puno posla, vađenja,popravci, liječenja i na kraju za mene jedino kaj dolazi u obzir su 4 implantanta koji će mi opet vratiti osmijeh i samopouzdanje Strah od nepoznatog, strah od boli je neopisiv ali Dr Marija Sabljić vrhunski profesionalac I Dr Balenovića otklanjanju svaki strah odrađuju besprijekorno svoj posao Zahvalna sam, sretna i toplo preporučujem!!!",9,1
119,Nino Balenović,18,"Odlična usluga, kvalitetno osoblje i nema čekanja, pacijent je odmah na redu Osoblje je ljubazno i uslužno",2,1
120,Nino Balenović,19,"Dolazim kod dr. Balenovica vec godinama, imala sam problema sa zubom i od kada ga je doktor popravio nisam imala nikakvih problema s njime Od tada dolazim na ciscenja i druge popravke, svaki posjet je bezbolan i ugodan Svi u ordinaciji su vrlo srdacni i ljubazni Toplo preporucujem ordinaciju doktora Balenovića!",4,2
121,Nino Balenović,20,"Dugo godina sa cijelom obitelji koristim usluge u ordinaciji Balenović, još od kad je radio dr. Ivan Balenović Dr Nino i svi njegovi suradnici su fantastični Sve što trebam naprave najbolje što je moguće, brzo, bezbolno Prostor je savršeno uređen, ljudi su ljubazni, pristupačni, kad sam kod njih osjeća se optimizam i prepuštam im se s potpunim povjerenjem Zahvaljujem im od srca na svemu",6,1
122,Tomislav Sajko,1,"Jako ljubazan, stručan, voljan pomoći. Sasluša pacijenta i procijeni što je najbolje učiniti kako bi se riješile tegobe - u mom slučaju, kako bih uopće došla do konačne dijagnoze. Jedan od rijetkih doktora koji želi znati sve tegobe neovisno jesu li isključivo vezane za njegovo područje.",3,2
123,Tomislav Sajko,2,"Najbolji neurokirurg kojeg sam upoznala. Spasio me od nepokretnosti, života u bolovima i nemoći. Stopalo desne noge je palo (nervus peroneus). Nakon operacije svi bolovi su nestali a stopalo se sa vremenom uz fizikalnu terapiju vratilo u funkciju.",4,2
124,Tomislav Sajko,3,"Dragi svi, Operirala sam lumbalni dio kraljeznice 31.7.2024. Prvi pregled kod Sajka kao i susret s njim prije i poslije operacije bio je ugodan i profesionalan. Profesionalac koji unaprijed zna sto pocijenta zanima i bez ikakvih dodatnih pitanja dobijete odmah sve bitne i kljucne informacije.",3,2
125,Tomislav Sajko,4,"Pređeni kilometri uzaludno za 4 minute pregleda i 750 kn , izvikani , bahati i čak bi se usudio reći slab sa živcima. Ne preporučam .",2,0
126,Tomislav Sajko,5,"Vrhunski odrađena operacija. Svakodnevna kontrola, detaljno objašnjenje svih mojih pitanja.",2,2
127,Tomislav Sajko,6,"Tomislav Sajko jedan je izuzetan liječnik i još bolji čovjek, svijetla točka našeg zdravstva. Prije 3 mjeseca je operirao mog svekra (diskus hernija - ekstruzija diska) i vratio ga u život.",2,2
128,Tomislav Sajko,8,"Doktor koji uništava kičme , a nitko mu ništa ne može... Dno dna da takav Doktor uopće smije operirati pacijente nakon svih neuspješnim operacija. Sama sam jedna od njih.",3,0
129,Tomislav Sajko,12,"Nakon 3 operacije kralježnice i stabilzacije kralježnice , doktor je rekao da ne vidi cemu bol, onda me je poslao na CT gdje se vidjelo da je implantat ispao u spirani kanal .. to je izvadio , bolovi mi ne staju ni nakon toga, doktor se ne javlja uopće niti vidi razlog moje boli....",2,0
130,Tomislav Sajko,19,"Pozdrav, Pišem ovaj komentar zbog svoje svoje tete koja je bila kod dr. Sajka na operaciji kralježnice.",1,0
131,Ulla Marton,1,"Doktorica Ulla Marton je vodila obje trudnoće našeg djeteta, i oboje su bile rizične. Tragajući za liječnikom koji će biti u stanju prepoznati zdravstveno stanje i voditi u razdoblju nesigurnosti u plodnost, nije bilo lako. Doktorica Manda Marton je na prvom pregleda napravila ogroman zaokret u pogledu pojašnjenja i vodstva. Nakon toga je dr.Ulla Marton nastavila voditi cijelu trudnoću, sve do poroda na KB Sveti Duh. Jednako tako je vodila vrlo brižno i drugu trudnoću, koja je ispala još rizičnija. Doktoricu Ullu Marton krasi iznimna razina topline, empatije, istinske brige za pacijenticu. Svaki put smo bili uvjereni u to. Pritom razina stručnosti i realnost procjene nikad nije izostala, štoviše, bila je savršena. Primjećujem da svoj poziv i zvanje iznimno voli. Nikad nije bila loše volje ili odsutna. Nikad nije odradila pregled ili prijem ""ofrlje"", dapače. Doktorica Ulla Marton, zajedno s dr. Mandom Marton je pomogla da se unatoč ne savršenim zdravstvenim ginekol.okolnostima, naših dvoje anđela zdravo rode. Toplina i stručnost kojom smo bili okruženi svaki put kad bismo došli na praćenje i kontrolu bila je uvijek iznimna. To je ranjivoj ženi ispredanoj od liječenja i bolnica, kao i suprugu jako važno. Zauvijek ćemo joj biti zahvalni. Iznimna liječnica i čovjek.",16,2
132,Ulla Marton,2,"O dr. Marton definitivno sve najbolje. Njezina sam pacijentica više od deset godina i stvarno mogu reći da imam najbolju doktoricu na svijetu. Iznimno profesionalna i ljubazna kao doktor i kao čovjek, dijagnoza bolesti joj je uvijek na mjestu i uz propisanu terapiju stanje mi se popravlja vrlo brzo.",3,2
133,Ulla Marton,3,"Ovaj komentar me je ostavio bez riječi. Toliko neprijateljskih kleveti i neistina nemogu uopće pojmiti. Vrlo primitivno! Mama Marton je jedna od najtoplijih, najnježnijih i najpažljivijih ljećnica ginekologije. A da njezino dugogodišnje iskustvo i stvarno veliko profesionalno znaje niti ne spominjem. Ali da bi to netko mogao ocijeniti mora i sam imati barem neko osnovno zanje o osobnoj njezi i vlastitom tijelu. Nakon gotovo 55 godina posjetama ginekologa u Hrvatskoj ali i u inozemstvu mislim da to mogu jako dobro ocijeniti. No očito ovakav nivo nije za svakoga. A što se tiče KLEVETA, može Vas biti samo sram. I dobro je da više ne dolazite.",10,2
134,Ulla Marton,4,"Doktorica Ulla Marton je prvenstveno čovjek, a onda i vrlo dobra liječnica. Svog pacijenta cijeni, ne ismijava, ne obraća se s visoka. Sve pojasni i ne gleda vas samo kroz novčanik. Drago mi je da sam na preporuku otišla do doktorice Ulle.",4,2
135,Ulla Marton,9,"Nažalost, imala sam negativno iskustvo s doktoricom Marton. Došla sam s nalazima o prisutnosti HPV-a te CIN I. Doktorica je imala samo jedan savjet, a to je cijepljenje protiv HPV-a (koje ne rješava trenutni probelm jer je virus već prisutan). Iako je procedura takva da se nakon pozitivnog HPV testa napravi kolposkopija te se vidi koliko su stanice vrata maternice promijenjene te treba li ih ukloniti, doktorica mi je tu opciju predložila kao „možemo to napraviti ukoliko se ne želite cijepiti“, cijelo vrijeme spominjući cijepljenje kao najispravniji korak. Na sreću, otišla sam kod druge doktorice koja je kolposkopskim pregledom utvrdila da su stanice dosta promijenjene te da treba hitno reagirati kako se ne bi stvorio puno veći problem. Ovakav pristup doktorice Marton, koji ne pokazuje dovoljno brige prema pacijentu, smatram neprofesionalnim.",6,0
136,Ulla Marton,10,"Doktorica Marton mi je vodila prvu trudnoću. Iako sam bila zadovoljna s njom i vjerovala joj nije se pokazala dobrim dijagnostičarom što je rezultiralo s prijevremenim porodom i boravkom bebe na intenzivnoj od 23 dana. Vjerujem da je velika većina ljudi zadovoljna s njom budući da je 90% trudnoća uredno, ali onda vam i ne treba posebno dobar liječnik.",3,0
137,Ulla Marton,11,"Zaboravila sam napomenuti da se presvlačite pokraj otvorenih prozora :O užas. Naručila sam se kod dr.Ulle Marton na pregled, a pregledala me njezina majka. Živu me isprepadala, da tko zna kakve sam bolesti pokupile (a odnose sam imala samo sa sadnjišim dečkom). Uzela mi i briseve i papa da bi na kraju sve bilo u savršenom redu k tome je koristila RUKAVICU KOJA SE KORISTI ZA TOČENJE GORIVA NA BENZINSKOJ CRPKI. I sve to sam masno platila, nikad mi nije žao dati novce za zdravlje, ali ovo ne zaslužuje nijednu lipu. Za dr.Ullu ne mogu ništa reći jer mi se samo u prolazu javila, ali tretman koji sam dobila od njezine majke ne bih ni kobili priuštila, nikad više u tu ordinaciju neću nogom kročiti.",6,0
138,Ulla Marton,12,"Par godina sam išla kod doktorice privatno. što reći o ginekologu koji na vaš odgovor da imate 20 godina i partnera kaže -ah, dječja posla... katastrofa. Iako doktorica je korektna i predana svom poslu, smatrala sam da je jednostavno preskupa te da mi ne odgovara kao doktorica. Vjerujem da ima mnogo vrlo zadovoljnih pacijenta ali ja nažalost nisam jedna, osjećala sam se kao da sam samo broj u nizu. Ipak hvala na svemu, ali našla sam novog ginekologa koji je više odgovarao i kojem absolutno vjerujem.",5,0
139,Ulla Marton,13,"Nisam bila zadovoljna načinom rada u ordinaciji dr. Marton jer neke pacijentice pregledava ona a neke dr. Manda Marton? Ja sam bila jednom i eto, po redosljedu sam došla kod dr. Mande i nisam bila zadovoljna. Smatram da se za tu cijenu treba dobiti puno više uljudnosti i ljubaznosti pri pregledu. Također mi je jednako naplaćen UZV+papa+pregled i sami pregled bez UZV-a i pape. Dr. Manda me nije shvaćala pretjerano ozbiljno jer sam ""mlada"" pa me to malo uvrijedilo.",5,0
